practice_subset,pattern,rank,att_dr_mean,count
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-low,1,15.380466307029819,46
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,1,13.185689669833524,41
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,1,12.363869539982328,31
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,1,8.608274378229545,69
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-low,1,7.821524199800393,90
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,2,7.7745662447161274,38
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-high-low,1,6.428682959588233,42
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,2,6.257965201500086,36
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-low,1,6.201347161714882,34
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,1,6.1448870611778785,47
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,1,5.284989356881702,44
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,2,5.223441061838271,43
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-low,2,5.042786103737997,44
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,3,4.538129815930942,61
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,2,4.266059483008607,50
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-low-low,1,4.155876517225821,57
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,2,3.710918790291245,95
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-low,3,3.349390013655617,45
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-low,3,3.2769327033327365,93
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-high,2,2.9727669816768847,26
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-high,3,2.837654693831041,45
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,3,2.7422284102338383,65
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-low-low,3,2.7154752006305434,99
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-low,2,2.5781567267085927,51
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-low,4,2.5111429715840514,61
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,3,1.800495610399068,66
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,3,1.688259600151567,99
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,4,1.6339200186282028,55
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-high-high,4,1.5928055112724269,45
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-high,4,1.535362833840862,61
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-high,2,0.8277355142087583,41
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,4,0.5334474311066438,68
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-high-high,5,0.08545138858901849,68
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-high,4,-0.056216473818767584,70
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,5,-0.07160671817748757,62
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-low,3,-0.115170211837903,66
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,2,-0.12874038723575754,34
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,3,-0.3416146792097263,21
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,4,-0.43697028470126786,48
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-high,5,-0.990200031226797,68
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,5,-1.082800079911042,45
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-low-high,5,-1.2118798715823933,46
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-low-high,6,-1.2440819401566776,47
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-high-high,5,-1.784978118608701,52
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-high,4,-1.7908678557882978,47
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,4,-1.844724641335639,18
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-low-high,4,-2.1439044548542436,33
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-low,5,-2.2748155660589027,90
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-high-high,6,-2.905481533968761,70
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-low,5,-3.003335933905152,66
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-high-high,5,-3.015270980212087,55
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-low,5,-3.173445546449191,97
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-3.2492831217380953,35
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-high-high,6,-3.5185061909896707,20
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-low-high,6,-3.64994160508181,41
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,high-high-low,7,-3.7294334847778243,78
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-3.77233719165147,47
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-low,7,-4.679012620684101,113
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-high,7,-5.390354431404848,40
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,6,-5.728430881460681,16
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-low-low,7,-5.740753695551612,53
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,6,-6.065162101101963,50
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-low,8,-6.41453216626665,89
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,7,-7.1160986176675145,65
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-low-low,7,-7.152116632399998,77
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,6,-7.930679550560504,42
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,high-high-high,7,-7.986158242055394,91
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,high-high-low,8,-8.556317982631125,89
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-low,6,-8.659610841323172,104
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,low-high-low,8,-9.129023388270262,64
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,7,-9.328284455085821,19
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,7,-9.982950465120991,75
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-low,7,-10.055547334817344,108
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-high-low,8,-11.620174939589813,67
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,high-low-low,8,-12.327972169989062,49
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,low-high-low,8,-12.858706740732378,45
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-13.939253731538884,13
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,low-high-low,8,-15.088906967205933,59
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,high-low-high,8,-16.674550565829072,16
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,low-low-high,8,-23.231618543756756,14
